web-scraper-order,web-scraper-start-url,Name,Price,Rating,Latitude,Longitude,Location,Image-src
1678630997-76,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Sahara Star,"19,470",8.3,19.0957428,72.8538296,Vile Parle,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/34/40/344096_v2.jpeg"
1678630997-77,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Hotel Rang Sharda,"3,584",6.7,19.0512905,72.8323145,Bandra West,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/27/87/2787614_v1.jpeg"
1678630997-78,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Svenska Design Hotel,"8,536",7.9,19.1362794,72.8279936,Andheri West,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/25/1725387_v1.jpeg"
1678630997-79,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,"Hotel Monarch Guestline in MIDC Rabale, Navi Mumbai","2,623",7.8,19.1409011,73.0025648, Rabale,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/26/4526014_v1.jpeg"
1678630997-81,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,JW Marriott Mumbai Sahar,"17,110",9,19.1025072,72.8782482,Vile Parle,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
1678630997-82,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,The Westin Mumbai Garden City,"20,060",9,19.1727759,72.8607137,Goregaon,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
1678630997-83,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Super Dormitory,"1,455",7.8,19.1013121,72.8915808, Saki Naka,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
1678630997-84,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Hotel Sea Princess,"9,440",7.8,19.0939893,72.8282142,Juhu,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
1678630997-88,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Treebo Trend Lake Bloom,"2,936",8.9,19.1243059,72.8907848,Powai,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
1678630997-89,https://www.trivago.in/en-IN/srl/hotels-mumbai-india?search=200-64981;dr-20230409-20230410;pa-2;rc-1-2,Hotel Airport International,"4,371",7,19.0963968,72.854192,Vile Parle,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
